ID,OBS_DATE,ASM,ASM_D11,ASM_D,ASM_D_D11,ASM_I,ASM_I_D11,RPM,RPM_D11,RPM_D,RPM_D_D11,RPM_I,RPM_I_D11,LOAD_FACTOR,LOAD_FACTOR_D11,LOAD_FACTOR_D,LOAD_FACTOR_D_D11,LOAD_FACTOR_I,LOAD_FACTOR_I_D11,ENPLANE_I,ENPLANE_I_D11,ENPLANE_D,ENPLANE_D_D11,ENPLANE,ENPLANE_D11,AIR_RPM_TSI,AIR_RPM_TSI_D11,AIR_RTMFM,AIR_RTMFM_D11,RAIL_FRT_CARLOADS,RAIL_FRT_CARLOADS_D11,RAIL_FRT_INTERMODAL,RAIL_FRT_INTERMODAL_D11,RAIL_PM,RAIL_PM_D11,TRANSIT,TRANSIT_D11,PETROLEUM,PETROLEUM_D11,NATURAL_GAS,NATURAL_GAS_D11,WATERBORNE,WATERBORNE_D11,TRUCK_D11,VMT,VMT_D11,TSI_Freight,TSI_Freight_C,TSI_Passenger,TSI_Passenger_C,TSI_Total,TSI_Total_C,IND_PRO,MANUF,INV_TO_SALES,IDX_AIR_RPM,IDX_AIR_RTMFM,IDX_RAIL_FRT_CARLOADS,IDX_RAIL_FRT_INTERMODAL,IDX_RAIL_PM,IDX_TRANSIT_D11,IDX_PETROLEUM_D11,IDX_NATURAL_GAS_D11,IDX_WATERBORNE_D11,IDX_TRUCK_D11
SATD200501,01/01/2005,81084792,82916565,59580514,61040086,21504278,21876478,57936503,64065037,41609095,46794698,16327408,17270339,71.5,77.3,69.8,76.7,75.9,78.9,6457,6655,47978,54629,54435,61284,59629608,65520689,2977459,3324897,1347820,1374766,901572,940904,378368103,456352897,747768,793427,229495,226731,2561.9,1852.7,41,45.4,88.2,224072,247614,113.8,1.9,107.3,1,112,1.6,98.49095708548884,85.43169840415996,1.56,1.111,1.2952,1.016,1.2674,0.9794,1.0076,1.0133,0.988,0.9198,1.1772
SATD200502,02/01/2005,75440323,84715575,55964342,62519874,19475981,22195701,54233804,64600659,40114944,47137964,14118860,17462695,71.9,76.3,71.7,75.4,72.5,78.7,5783,6744,47075,54649,52858,61393,55795165,65874024,2815089,3239882,1297959,1432895,861605,959633,351583660,448488226,727882,788266,211755,232743,2243,1804.4,41.5,48.4,86.3,219970,250015,112.9,-0.7,107.5,0.1,111.4,-0.5,99.20222330978304,85.29913424198415,1.54,1.117,1.2621,1.059,1.2926,0.9625,1.0011,1.0401,0.9622,0.9802,1.1527
SATD200503,03/01/2005,85747280,84098588,63743171,61781961,22004109,22316627,68725711,64991746,50789921,47498632,17935790,17493114,80.1,77.3,79.7,76.9,81.5,78.4,7260,6789,58839,54974,66099,61763,70595861,66442624,3427926,3236779,1443129,1401100,910338,927100,463828081,453249067,845975,788122,231375,232346,2205.8,1884.2,51,49.5,85.6,253182,249174,112.1,-0.7,108.1,0.6,111.1,-0.3,99.06210673989033,85.40473997790235,1.54,1.1266,1.2609,1.0355,1.2488,0.9728,1.0009,1.0384,1.0048,1.0014,1.143
SATD200504,04/01/2005,83050137,84108113,61262216,61897818,21787921,22210294,63817097,64771906,47002623,47136710,16814474,17635196,76.8,77,76.7,76.2,77.2,79.4,6659,6854,54909,54790,61568,61644,65145551,66331916,3305046,3264530,1412210,1409463,920803,925678,430496434,452361071,800801,800077,220661,225550,1724.9,1837.6,51,49.1,86.6,250860,249024,112.9,0.7,108.5,0.4,111.7,0.6,99.26776170537804,87.3172286638135,1.53,1.1248,1.2717,1.0417,1.2468,0.9709,1.0161,1.008,0.9799,0.9947,1.1555
SATD200505,05/01/2005,85980392,84349355,63160148,62178115,22820244,22171240,67072652,65439510,49016422,47816083,18056230,17623427,78,77.6,77.6,76.9,79.1,79.5,6862,6830,57324,55206,64186,62036,68268899,66979009,3186654,3243135,1416905,1373428,951353,937376,462014277,450017273,819905,798003,230984,223439,1522.6,1838,54.7,52,85.8,262678,250452,112.2,-0.6,109.1,0.6,111.4,-0.3,99.36062488659726,86.60405575099878,1.54,1.1357,1.2634,1.015,1.2626,0.9658,1.0134,0.9986,0.9802,1.0522,1.1453
SATD200506,06/01/2005,86609755,84312799,63378463,62152929,23231292,22159870,71621917,65135915,52181786,47675186,19440131,17460729,82.7,77.3,82.3,76.7,83.7,78.8,7414,6795,59724,55185,67138,61980,72952958,66769257,3332961,3312932,1368235,1369204,932056,932769,508598324,451417654,793548,794475,218621,217329,1534.1,1873.9,49.3,47.2,85.7,263816,251531,111.7,-0.5,108.7,-0.3,110.9,-0.4,99.79535606239352,87.02625589776038,1.48,1.1322,1.2905,1.0119,1.2564,0.9688,1.009,0.9712,0.9993,0.9549,1.1447
SATD200507,07/01/2005,90483563,84196600,65813398,61975086,24670165,22221514,76041550,65374469,55290372,47906147,20751178,17468321,84,77.6,84,77.3,84.1,78.6,8178,6789,62396,55147,70574,61936,77432998,66721159,3221428,3275106,1358858,1374617,954395,944671,548229054,448703829,772326,805051,235815,231646,1686.6,1886.6,50.5,47.5,85.4,267025,250663,111.6,-0.1,109.1,0.4,111,0.1,99.47834745924908,86.64438199192956,1.44,1.1314,1.2758,1.0159,1.2724,0.963,1.0224,1.0352,1.0061,0.9621,1.1398
SATD200508,08/01/2005,89608961,83813622,65309256,61588537,24299705,22225085,72415556,64604966,52510003,47243492,19905553,17361473,80.8,77.1,80.4,76.7,81.9,78.1,7730,6695,59111,54676,66841,61371,73778918,66286344,3271476,3232959,1436461,1371567,1017108,951870,511556316,438717435,805500,795591,230034,222466,1695.1,1868,47.1,45.6,86.9,265323,249458,112.4,0.7,108.2,-0.8,111.3,0.3,99.80573126295008,88.64509825468375,1.47,1.124,1.2594,1.0137,1.2821,0.9416,1.0104,0.9942,0.9961,0.9231,1.1599
SATD200509,09/01/2005,80964733,83288403,58674828,60877365,22289905,22411038,60791372,65675869,43524915,48097966,17266457,17577903,75.1,78.9,74.2,79,77.5,78.4,6219,6831,50600,54980,56819,61811,62046798,66735477,3312249,3303534,1395492,1382962,978187,957406,436175168,467943550,823831,799370,204899,208680,1422.5,1797.5,36.7,40.7,86.4,242240,245820,111.5,-0.9,109,0.7,110.9,-0.4,97.87245131765586,90.14942299924012,1.48,1.1316,1.2869,1.0221,1.2896,1.0043,1.0152,0.9326,0.9585,0.8239,1.1542
SATD200510,10/01/2005,82318032,82563299,60392331,60290680,21925701,22272619,62624694,64368879,45895538,46957513,16729156,17411365,76.1,78,76,77.9,76.3,78.2,6160,6753,53738,54412,59898,61165,63640895,65249355,3504372,3292574,1428224,1348842,1069413,979288,432503304,449125045,848849,810107,210817,212150,1428.2,1696.9,44.8,42.6,86.1,251419,245957,110.9,-0.5,107.7,-1.1,110.1,-0.7,99.06888657391738,90.6834671954341,1.49,1.1064,1.2826,0.9969,1.3191,0.9639,1.0288,0.9481,0.9049,0.8623,1.1493
SATD200511,11/01/2005,79151133,82801787,58886853,60762825,20264280,22038962,60533679,65278360,45109831,47780981,15423848,17497380,76.5,78.8,76.6,78.6,76.1,79.4,5941,6814,52766,54677,58707,61491,61518984,66387104,3494552,3290992,1351966,1374023,976133,982083,435866215,450325607,803000,804705,215522,217106,1663.4,1746.8,44.9,44,88.6,243056,250704,113.7,2.5,108.8,0.9,112.4,2,100.1582826323576,91.07024263331174,1.49,1.1257,1.282,1.0155,1.3228,0.9665,1.022,0.9703,0.9315,0.8915,1.183
SATD200512,12/01/2005,82918301,83141259,60889086,60605350,22029215,22535909,63220661,65392426,46190194,47745447,17030467,17646979,76.2,78.7,75.9,78.8,77.3,78.3,6704,6900,52801,54791,59505,61691,64289340,66663676,3457971,3302686,1329833,1387844,950888,988877,447261670,437368120,747830,777976,225336,217457,2326.4,1886.2,43.2,44.1,86.4,245787,250380,112.3,-1.2,107.9,-0.8,111.1,-1.1,100.6418080681971,92.60085741339206,1.5,1.1304,1.2866,1.0257,1.332,0.9387,0.988,0.9718,1.0058,0.8929,1.1539
SATD200601,01/01/2006,81348009,83091794,59096204,60418406,22251805,22673388,59828980,65936886,42966268,48018771,16862712,17918115,73.5,79.4,72.7,79.5,75.8,79,6711,6952,48886,54949,55597,61901,61035027,66866383,2921183,3237460,1416683,1444913,968751,1007829,363830405,441488504,789757,820709,222123,219406,2165.3,1568.6,41.1,45.2,86.4,233282,255482,112.3,0,109.9,1.9,111.7,0.5,100.8007232688013,92.79981505511138,1.47,1.1338,1.2611,1.0679,1.3575,0.9475,1.0423,0.9805,0.8365,0.9142,1.1535
SATD200602,02/01/2006,73757850,83010928,53733108,60206743,20024742,22804185,55491266,66263415,40927215,48188273,14564051,18075142,75.2,79.8,76.2,80,72.7,79.3,6001,7009,47348,55193,53349,62202,56729212,67320922,2760326,3190766,1268549,1403614,874097,972022,347575222,450373333,741472,805526,198045,217504,2144.4,1732.5,39.9,46.7,85.5,220711,250785,111.4,-0.8,109.8,-0.1,111.1,-0.6,100.8435594928814,92.36157353074196,1.48,1.1415,1.243,1.0373,1.3093,0.9666,1.023,0.972,0.9239,0.9457,1.1418
SATD200603,03/01/2006,85480121,83821543,62257065,60409979,23223056,23411564,69483900,66602258,50693391,47851188,18790509,18751071,81.3,79.5,81.4,79.2,80.9,80.1,7552,7154,58286,54485,65838,61638,70799794,67382819,3617369,3380172,1445316,1403342,987031,997380,430329187,442762364,866365,806971,209210,210627,2126.4,1823.6,50,48.3,85,256623,250866,111.9,0.4,109.9,0.1,111.5,0.3,101.0722248041579,93.09368418101036,1.49,1.1426,1.3167,1.0371,1.3434,0.9502,1.0248,0.9413,0.9725,0.9783,1.1347
SATD200604,04/01/2006,82991119,83855762,59917615,60487894,23073504,23367868,67122793,67173856,48800883,48484691,18321910,18689165,80.9,80.1,81.4,80.2,79.4,80,7346,7356,55829,55898,63175,63255,68120559,68093819,3270920,3300223,1398326,1393238,991471,1017156,445609435,452118963,780066,798149,209681,214518,1681,1794.5,47.1,45.5,84.9,250644,250631,111.2,-0.6,110.3,0.4,111.1,-0.3,101.3714620241708,91.9759120774204,1.48,1.1546,1.2856,1.0297,1.3701,0.9703,1.0136,0.9587,0.957,0.9219,1.1338
SATD200605,05/01/2006,85233860,83596486,61284297,60301404,23949563,23295082,68435521,66762604,49302219,48062265,19133302,18700339,80.3,79.9,80.4,79.7,79.9,80.3,7304,7299,57145,54850,64449,62149,69352606,67933977,3210319,3251506,1473473,1430688,1019525,1005237,459957974,446349756,844162,806510,223528,216276,1526.3,1851.7,48.9,45.7,87.3,263370,250030,113.5,2.1,110.5,0.1,112.8,1.5,101.3969377641513,94.21502103517984,1.5,1.1519,1.2666,1.0573,1.354,0.9579,1.0242,0.9665,0.9874,0.9259,1.1652
SATD200606,06/01/2006,86336051,83698087,61692651,60297582,24643400,23400505,73147256,66067086,52200272,47334441,20946984,18732645,84.7,78.9,84.6,78.5,85,80.1,7932,7223,59297,53989,67229,61212,74099238,67219073,3367968,3345244,1418701,1423202,1007434,1004912,516527472,453753156,833120,829328,218297,218203,1550.9,1887.9,48.1,45.9,86.3,263782,250453,113,-0.5,110.7,0.2,112.4,-0.3,101.7383948596964,94.041907835162,1.5,1.1398,1.3031,1.0518,1.3536,0.9738,1.0532,0.9752,1.0068,0.9289,1.1517
SATD200607,07/01/2006,90151121,83665127,64111164,60257795,26039957,23407332,76711219,66351557,54506446,47630068,22204773,18721489,85.1,79.3,85,79,85.3,80,8669,7212,60839,54528,69508,61740,77798621,67437497,3201528,3267907,1384334,1396604,1016949,1003511,549393934,451372290,776849,812991,224843,220770,1758.7,1966.4,47.7,44.9,85.3,263421,249092,111.7,-1.1,110.3,-0.4,111.4,-0.9,101.6719319412795,92.43108616704254,1.5,1.1435,1.273,1.0322,1.3517,0.9687,1.0325,0.9866,1.0487,0.9095,1.139
SATD200608,08/01/2006,90024823,84027887,64332983,60575952,25691840,23451936,73076758,64926545,52074386,46696883,21002372,18229662,81.2,77.3,80.9,77.1,81.7,77.7,8175,7080,58303,53971,66478,61051,74227051,66174269,3395702,3364753,1456353,1388956,1081544,1015689,530942270,455701724,826059,813775,228039,221056,1751.7,1923.9,45.8,44.2,82.7,265206,249501,109.6,-1.9,108.9,-1.2,109.5,-1.7,102.1132375015868,94.3137200668502,1.49,1.1221,1.3107,1.0265,1.3681,0.978,1.0335,0.9879,1.026,0.8947,1.1047
SATD200609,09/01/2006,81730332,84409593,58383462,60787164,23346870,23622429,61249897,66140697,43108587,47684581,18141310,18456116,74.9,78.4,73.8,78.4,77.7,78.1,6476,7159,49950,54488,56426,61646,62345744,67357088,3387556,3388051,1401873,1388904,1036485,1007059,427768908,461152398,837889,826807,217709,221279,1462.1,1841.9,46.6,51,85.4,245605,250388,112.7,2.9,110.8,1.7,112.3,2.5,101.9282302124542,92.14055899481188,1.5,1.1421,1.3198,1.0265,1.3565,0.9897,1.05,0.9889,0.9822,1.0314,1.1399
SATD200610,10/01/2006,84229901,84458946,60802722,60500353,23427179,23958592,65091487,66638666,47137132,47877102,17954355,18761564,77.3,78.9,77.5,79.1,76.6,78.3,6556,7240,55089,55010,61645,62249,66082164,67548638,3514733,3289114,1449720,1373843,1088675,1000045,451598087,462025797,870254,810878,211168,212463,1644.2,1948.8,46,44.1,84.7,257939,251413,110.7,-1.8,110.3,-0.4,110.8,-1.4,101.8237591335826,91.6648875893575,1.5,1.1454,1.2813,1.0153,1.347,0.9916,1.0298,0.9495,1.0392,0.8919,1.1306
SATD200611,11/01/2006,80421711,84329203,58912308,60789321,21509403,23539883,62637778,67678356,45966808,48719757,16670970,18958599,77.9,80.3,78,80.1,77.5,80.5,6441,7334,53852,55969,60293,63303,63548732,68463528,3606059,3372797,1338575,1358719,982941,991989,451610146,462361258,818314,821102,210501,211439,1765.4,1852.2,44.9,43.8,82.3,245346,252836,108.5,-2,111.8,1.3,109.6,-1,101.7964343479584,92.76127118947036,1.49,1.1609,1.3139,1.0042,1.3362,0.9923,1.0428,0.9449,0.9877,0.8864,1.0988
SATD200612,12/01/2006,84639954,85034111,61161328,61043908,23478626,23990204,65157505,67519503,46835639,48585871,18321866,18933632,77,79.4,76.6,79.6,78,78.9,7195,7394,53539,55766,60734,63160,65980782,68471082,3506047,3354570,1357724,1416438,960382,1002091,461370074,452632326,785344,833141,218230,210128,2122.8,1714.7,44.1,45.2,84.2,248187,253944,110.6,1.9,112.3,0.4,111.2,1.5,102.8403233386109,95.92053139056772,1.49,1.161,1.3068,1.0468,1.3498,0.9714,1.0581,0.9391,0.9144,0.9144,1.1238
SATD200701,01/01/2007,84354435,86447933,60618488,62216789,23735947,24231144,61896193,68546667,43823680,49224534,18072513,19322134,73.4,79.3,72.3,79.1,76.1,79.7,7116,7419,50022,56280,57138,63699,63016014,69298570,3026361,3332778,1329798,1358839,958822,995071,377529725,458601153,811394,830027,212341,209139,2475.6,1788.8,41.7,45.5,83.8,233621,254533,109.8,-0.7,113.1,0.7,110.9,-0.3,102.4726714297794,93.70125135790688,1.49,1.1751,1.2983,1.0042,1.3403,0.9842,1.0541,0.9346,0.9539,0.9202,1.1187
SATD200702,02/01/2007,75799074,85545953,54490060,61262584,21309014,24283370,56914815,68210153,41270274,48688419,15644541,19521734,75.1,79.7,75.7,79.5,73.4,80.4,6327,7404,47766,55871,54093,63275,57793832,68866467,2908924,3374260,1217842,1351139,897150,997282,360542790,468999383,762950,830129,199136,217680,2567,2080.5,36.2,42.7,84.1,219232,249391,110.4,0.5,112.6,-0.4,111.2,0.2,103.4608836016035,95.45042990789383,1.49,1.1677,1.3144,0.9986,1.3433,1.0066,1.0542,0.9728,1.1095,0.864,1.1226
SATD200703,03/01/2007,87561518,85870073,63131522,61388312,24429996,24481762,71497177,68779430,51518429,48867776,19978748,19911654,81.7,80.1,81.6,79.6,81.8,81.3,7926,7467,59244,56111,67170,63578,72700241,69556931,3590561,3387762,1400930,1359552,983297,988520,459164806,476519804,879460,839353,221659,223913,2128.8,1838.2,47.9,46.4,85.4,259638,254292,111.7,1.2,113.8,1.1,112.5,1.1,103.6443500193663,96.97814832812831,1.47,1.1795,1.3197,1.0048,1.3315,1.0227,1.066,1.0007,0.9803,0.9385,1.1395
SATD200704,04/01/2007,85179094,85967513,61124424,61606203,24054670,24361310,68813909,68893089,49772604,49374389,19041305,19518700,80.8,80.1,81.4,80.1,79.2,80.1,7488,7467,57396,56778,64884,64245,69836157,69775928,3256970,3270374,1371907,1366089,949860,978570,470429231,476249485,828090,828328,206879,211541,1810.1,1936.3,48.1,47.1,83.7,252595,251375,110.2,-1.3,113.6,-0.2,111.4,-1,104.3398993556887,97.46763314207833,1.49,1.1832,1.274,1.0096,1.3181,1.0221,1.052,0.9454,1.0326,0.9532,1.1176
SATD200705,05/01/2007,87873082,85990377,62774346,61588610,25098736,24401768,70947617,68711326,51031835,49353598,19915782,19357728,80.7,79.9,81.3,80.1,79.3,79.3,7491,7446,59284,56702,66775,64149,71933108,69900557,3283361,3319204,1404578,1364178,993255,983298,494257576,478282951,886746,849596,218575,211905,1559.1,1903,50,46.6,83.9,267574,254131,110.4,0.1,114.6,0.9,111.8,0.4,104.395987073549,98.72264814297968,1.47,1.1853,1.293,1.0082,1.3245,1.0265,1.079,0.947,1.0148,0.9441,1.1202
SATD200706,06/01/2007,88605372,85784174,62620840,61260087,25984532,24524087,75914661,68864890,54018698,49358911,21895963,19505979,85.7,80.3,86.3,80.6,84.3,79.5,8193,7494,61494,56708,69687,64202,76926452,70322861,3282603,3271201,1388137,1397961,996168,990366,545207971,485213345,831911,842547,214007,214575,1555.2,1890,48.4,46.1,82.8,265374,253200,109.6,-0.7,114.8,0.2,111.3,-0.4,104.424544556269,98.66048780474937,1.5,1.1924,1.2743,1.0332,1.334,1.0414,1.07,0.9589,1.0079,0.9336,1.1057
SATD200707,07/01/2007,92900558,85509901,65566711,61002824,27333847,24507077,79865223,68741881,56572991,49136778,23292232,19605104,86,80.4,86.3,80.5,85.2,80,8946,7483,63457,56200,72403,63684,80988340,70224997,3237816,3290435,1351172,1359385,991480,976626,585837053,482023701,815264,834782,218167,214103,1659.9,1854.8,46.1,43.4,82.8,267106,252333,108.7,-0.8,114.4,-0.4,110.5,-0.7,104.2608012920396,98.54752977076087,1.5,1.1908,1.2818,1.0047,1.3155,1.0345,1.0601,0.9568,0.9891,0.8791,1.106
SATD200708,08/01/2007,92794576,86532603,65556234,61776843,27238342,24755760,78314560,69214033,55682567,49697976,22631993,19516057,84.4,80,84.9,80.4,83.1,78.8,8685,7462,62658,57261,71343,64724,79439827,70619755,3373928,3353663,1443340,1372802,1031714,968236,570807078,490160933,858265,839280,218382,212232,1896.1,2082.8,42.1,40.2,83.6,271225,254221,109.5,0.8,115,0.6,111.3,0.7,104.4652235604315,98.85922264955744,1.49,1.1975,1.3064,1.0146,1.3042,1.052,1.0659,0.9485,1.1107,0.8144,1.1164
SATD200709,09/01/2007,84375737,87224902,59796292,62263873,24579445,24961029,64781658,69764371,45240435,49876775,19541223,19887596,76.8,80,75.7,80.1,79.5,79.7,6901,7632,52308,57454,59209,65086,65913314,70727503,3321480,3341632,1393274,1379836,1006150,980269,451772968,487837346,844668,850292,205325,208198,1590.5,2001.7,40.5,45.1,82.4,245965,253290,109.3,-0.2,115.6,0.5,111.3,0,104.7204945840264,99.52694499248332,1.49,1.1993,1.3017,1.0198,1.3204,1.047,1.0798,0.9304,1.0675,0.9123,1.1007
SATD200710,10/01/2007,86936676,87459567,62497723,62316005,24438953,25143562,68397379,70169668,49069269,49928910,19328110,20240758,78.7,80.2,78.5,80.1,79.1,80.5,6971,7755,57206,56973,64177,64728,69445349,71248477,3560820,3319414,1448865,1376498,1043165,959244,483184463,492580348,925613,848306,214211,215178,1627.8,1920.6,47.1,45.2,84.7,261423,253767,110.9,1.5,116.1,0.4,112.6,1.2,104.4141693557125,100.9735653370338,1.48,1.2081,1.2931,1.0173,1.2921,1.0572,1.0773,0.9616,1.0242,0.916,1.131
SATD200711,11/01/2007,83926904,88210418,60801594,62729620,23125310,25480798,65333114,70342217,47256388,49788706,18076726,20553511,77.8,79.7,77.7,79.4,78.2,80.7,6862,7779,55044,56458,61906,64237,66250428,70873156,3560924,3322638,1373748,1391789,965202,971493,503151672,509216499,853354,852951,212512,212750,1834.5,1915.5,45.1,43.6,84.6,245787,252121,110.7,-0.2,115.9,-0.1,112.4,-0.2,105.0018576961497,103.3833367287876,1.46,1.2018,1.2943,1.0286,1.3086,1.0929,1.0832,0.9508,1.0215,0.8826,1.1292
SATD200712,12/01/2007,87368019,88108856,62270682,62407351,25097337,25701505,66764862,69831029,47070645,49330241,19694217,20500788,76.4,79.3,75.6,79,78.5,79.8,7548,7759,53289,56404,60837,64162,67782533,70775647,3458868,3303884,1320075,1378680,922209,962480,508739922,503826793,786304,840642,220590,212381,2399.2,1927.8,43.6,44.8,84.5,240281,247460,110.6,0,115.3,-0.6,112.2,-0.2,105.0631843766672,103.0101519024943,1.49,1.2001,1.287,1.0189,1.2964,1.0813,1.0676,0.9491,1.028,0.9063,1.1283
SATD200801,01/01/2008,85823989,88033290,60635551,62303869,25188438,25729421,63504217,70113057,44233383,49535741,19270834,20577316,74,79.6,72.9,79.5,76.5,80,7465,7785,50245,56645,57710,64430,64667106,70928811,3065185,3368882,1348333,1376384,931504,962959,416211470,498988287,824117,846216,217295,214052,2734,1966.2,41.4,45.1,87.5,232920,253376,113.3,2.4,115.7,0.3,114.2,1.8,104.9326212092672,104.3857000323656,1.48,1.2027,1.3123,1.0172,1.2971,1.0709,1.0747,0.9566,1.0485,0.9132,1.1682
SATD200802,02/01/2008,80678778,88212956,57170275,62253414,23508503,25959542,60578995,70094323,43429251,49344326,17149744,20749997,75.1,79.5,76,79.3,73,79.9,6933,7833,50118,56070,57051,63903,61504425,70863860,2937434,3288046,1297350,1374573,901465,966058,395912010,494884956,818762,845277,196679,205514,2503.4,1981.1,36.9,43.1,85.9,221336,250551,111.4,-1.7,115.6,-0.1,112.8,-1.3,104.548738788674,104.0432611798208,1.5,1.2016,1.2809,1.0159,1.3012,1.0621,1.0735,0.9184,1.0565,0.8733,1.1466
SATD200803,03/01/2008,89259053,87593678,63249344,61610667,26009709,25983010,73427185,70252361,52016986,49252752,21410199,20999608,82.3,80.2,82.2,79.9,82.3,80.8,8512,7856,59213,56433,67725,64288,74575530,70944913,3365775,3242730,1405927,1364097,924022,941949,504552405,501900352,866867,846910,204397,207390,2278.2,1990.7,38,36.7,85.7,252343,248981,109.6,-1.6,115.8,0.2,111.5,-1.1,104.2150887747358,103.0359963441958,1.48,1.203,1.2632,1.0081,1.2688,1.0772,1.0755,0.9268,1.0616,0.7437,1.1442
SATD200804,04/01/2008,85702945,86578212,60127860,60663903,25575085,25914309,67956166,69319795,48189445,48513946,19766721,20805850,79.3,80.1,80.1,80,77.3,80.3,7586,7869,55611,55695,63197,63563,68906882,70520723,3414759,3364492,1383944,1377643,933124,950864,473811702,504515704,894223,876716,204651,209451,1823.9,1958,41.4,40.8,86.6,252088,249101,111.5,1.8,116.6,0.7,113.2,1.5,103.5007408077021,105.9450556139933,1.49,1.1958,1.3106,1.0181,1.2808,1.0828,1.1134,0.936,1.0442,0.8257,1.1559
SATD200805,05/01/2008,88697897,86843663,61778291,60739688,26919606,26103975,71791924,69217596,50259915,48471279,21532009,20746317,80.9,79.7,81.4,79.8,80,79.5,7980,7824,58047,55312,66027,63136,72725750,70230758,3243077,3286525,1411409,1376440,971403,955741,550928592,531653893,900514,877018,219870,213850,1576.4,1934.6,44.8,41.4,86.4,261466,248415,111.3,-0.2,116.4,-0.2,113,-0.2,102.8619982625459,105.8833408695854,1.47,1.1909,1.2803,1.0173,1.2873,1.141,1.1138,0.9557,1.0317,0.8377,1.1531
SATD200806,06/01/2008,89783653,86273450,62328400,60465110,27455253,25808340,75301714,68436087,52521313,48031674,22780401,20404414,83.9,79.3,84.3,79.4,83,79.1,8397,7664,59559,55063,67956,62728,76162104,69435469,3103666,3091552,1334423,1350240,951636,952648,580290736,520269650,867243,879847,205520,205927,1604.2,1952.6,39.1,36.8,86.8,257484,246701,109.8,-1.3,115.6,-0.7,111.7,-1.1,102.5940920937187,107.358479218772,1.47,1.1774,1.2043,0.9979,1.2832,1.1166,1.1174,0.9203,1.0413,0.7439,1.1594
SATD200807,07/01/2008,93730363,85708910,64884634,59989070,28845729,25719840,78772769,67560236,54621355,47362263,24151414,20197972,84,78.8,84.2,79,83.7,78.5,9072,7598,61402,54395,70474,61992,79707545,68706130,3101001,3127030,1382679,1389378,977190,961722,645144911,540392898,895654,900455,206156,202125,1708.6,1910.4,45.1,42.5,86.3,261600,245645,111.1,1.1,115.8,0.2,112.6,0.8,102.1283380410107,107.1082782874721,1.48,1.165,1.2181,1.0268,1.2954,1.1598,1.1435,0.9033,1.0188,0.8609,1.1526
SATD200808,08/01/2008,91768764,85335908,63117945,59551723,28650819,25784185,76359814,67432248,52643147,47197463,23716667,20234785,83.2,79,83.4,79.3,82.8,78.5,8862,7602,58966,54542,67828,62144,77300568,68209052,3043654,3069703,1434978,1363337,1010766,945502,620188551,543402744,875549,885206,206669,201660,1682.9,1844.9,45.3,43.2,84.3,260609,244681,108.9,-1.9,114.7,-1,110.7,-1.7,100.5152511663585,103.9750853249875,1.49,1.1566,1.1958,1.0076,1.2735,1.1662,1.1242,0.9012,0.9839,0.8739,1.1252
SATD200809,09/01/2008,78680600,81348062,53906436,55932964,24774164,25415098,60292068,64568299,41015590,44809857,19276478,19758442,76.6,79.4,76.1,80.1,77.8,77.7,6553,7276,47680,51303,54233,58579,61198749,65790623,2973954,2967590,1338637,1323261,970951,939647,500634771,533479994,896800,868807,171319,172964,1460.9,1828.6,36.6,41.2,84.4,239607,245948,107.4,-1.4,111.3,-2.9,108.7,-1.9,96.10681817739462,100.9933942621323,1.51,1.1156,1.156,0.978,1.2657,1.1449,1.1034,0.773,0.9751,0.8348,1.1272
SATD200810,10/01/2008,80860346,81402847,56299338,56103068,24561008,25299779,64011438,64918470,44913078,45117729,19098360,19800741,79.2,79.7,79.8,80.4,77.8,78.3,6717,7378,52956,51785,59673,59164,65018204,65976284,3142112,2929843,1405300,1335046,1012317,935641,517898247,522078981,954787,873105,209416,209676,1635.8,1925.8,44.2,42.4,82.9,255848,246795,107.4,0,111.6,0.3,108.8,0.1,97.07335542528376,96.59404645318531,1.56,1.1187,1.1413,0.9867,1.2603,1.1205,1.1088,0.937,1.027,0.8589,1.1073
SATD200811,11/01/2008,76460085,80970300,53450486,55563541,23009599,25406759,57684017,63902397,40578576,44275678,17105441,19626719,75.4,78.9,75.9,79.7,74.3,77.2,6397,7360,47658,51358,54055,58718,58512623,65251163,2791288,2611806,1240255,1254898,890308,900028,484492078,499275206,836322,871744,207473,206971,1869,1938.3,42.8,41,81.6,236465,246244,104.2,-3,110.7,-0.8,106.2,-2.4,95.8028556185144,89.4718975922206,1.61,1.1064,1.0174,0.9274,1.2123,1.0715,1.1071,0.925,1.0337,0.8289,1.0889
SATD200812,12/01/2008,79880143,80882044,55361169,55526714,24518974,25355329,62697156,64464762,43824845,44786064,18872311,19678698,78.5,79.7,79.2,80.7,77,77.6,7129,7339,50254,51414,57383,58753,63503416,65214516,2629749,2508542,1123059,1180228,774709,814139,511270950,503031065,836796,860915,215683,207828,2399.7,1921.2,36.8,38,79.4,241742,246829,100.4,-3.7,110.2,-0.5,103.3,-2.7,93.09595552082855,84.99590764581396,1.62,1.1058,0.9772,0.8722,1.0966,1.0796,1.0933,0.9288,1.0245,0.7694,1.0599
